CASE_CODE,TITLE,REGULATION_ID,NOTIFICATION_DATE,SIMPL_PROC,LAST_DECISION_DATE,DEADLINE_DATE,NACE_CODE
M.1018,GE CAPITAL / WOODCHESTER,Council Regulation 4064/89,09-10-97,N,07-11-97,10-11-97,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1019,PREUSSAG / TUI,Council Regulation 4064/89,30-09-97,N,10-11-97,12-11-97,N.79.12 - Tour operator activities
M.102,TNT / GD NET,Council Regulation 4064/89,28-10-91,N,02-12-91,,"H.53.20 - Other postal and courier activities, H.53.20 - Other postal and courier activities, H.53.20 - Other postal and courier activities"
M.1020,GE CAPITAL / SEA CONTAINERS,Council Regulation 4064/89,26-03-98,N,28-04-98,30-04-98,"H.50.20 - Sea and coastal freight water transport, H.50.20 - Sea and coastal freight water transport"
M.1021,COMPAGNIE NATIONALE DE NAVIGATION / SOGELFA - CIM,Council Regulation 4064/89,17-10-97,N,01-12-97,01-12-97,"C.28.9 - Manufacture of other special-purpose machinery, C.28.9 - Manufacture of other special-purpose machinery"
M.1022,CABLE I TELEVISIO DE CATALUNYA (CTC),Council Regulation 4064/89,17-12-97,N,28-01-98,29-01-98,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1023,IFIL / WORMS & CIE,Council Regulation 4064/89,30-10-97,N,27-11-97,01-12-97,"C.10.81 - Manufacture of sugar, C.10.81 - Manufacture of sugar, C.17 - Manufacture of paper and paper products, C.17 - Manufacture of paper and paper products, K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1025,MANNESMANN / OLIVETTI / INFOSTRADA,Council Regulation 4064/89,03-12-97,N,15-01-98,15-01-98,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1026,NORDIC CAPITAL / APAX INDUSTRI,Council Regulation 4064/89,09-10-97,N,06-11-97,10-11-97,"C.16.2 - Manufacture of products of wood, cork, straw and plaiting materials"
M.1027,DEUTSCHE TELEKOM / BETARESEARCH,Council Regulation 4064/89,08-12-97,N,27-05-98,10-06-98,"J.60.2 - Television programming and broadcasting activities, J.60.2 - Television programming and broadcasting activities, J.60.2 - Television programming and broadcasting activities"
M.1029,MERITA / NORDBANKEN,Council Regulation 4064/89,10-11-97,N,10-12-97,11-12-97,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1030,LAFARGE / REDLAND,Council Regulation 4064/89,04-11-97,N,16-12-97,17-12-97,"F.41 - Construction of buildings, F.41 - Construction of buildings"
M.1031,JARDINE / APPLEYARD,Council Regulation 4064/89,17-10-97,N,20-11-97,20-11-97,"G.45.1 - Sale of motor vehicles, G.45.1 - Sale of motor vehicles, G.45.2 - Maintenance and repair of motor vehicles, G.45.2 - Maintenance and repair of motor vehicles"
M.1033,AXA-UAP / AXA AURORA,Council Regulation 4064/89,27-11-97,N,23-12-97,08-01-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1035,HOCHTIEF / AER RIANTA / DÜSSELDORF AIRPORT,Council Regulation 4064/89,20-11-97,N,22-12-97,22-12-97,"H.51 - Air transport, H.51 - Air transport"
M.1036,CHRYSLER / DISTRIBUTORS (BeNeLux and Germany),Council Regulation 4064/89,21-11-97,N,22-12-97,06-01-98,"G.45.1 - Sale of motor vehicles, G.45.1 - Sale of motor vehicles"
M.1037,NOMURA / BLUESLATE,Council Regulation 4064/89,20-10-97,N,17-11-97,21-11-97,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding, R.92.00 - Gambling and betting activities, R.92.00 - Gambling and betting activities"
M.1038,WORLDCOM / MCI,Council Regulation 4064/89,07-11-97,N,20-11-97,10-12-97,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1040,WOLTERS KLUWER / REED ELSEVIER,Council Regulation 4064/89,10-11-97,N,09-03-98,28-04-98,"J.58.1 - Publishing of books, periodicals and other publishing activities, J.58.1 - Publishing of books, periodicals and other publishing activities, J.58.1 - Publishing of books, periodicals and other publishing activities"
M.1041,BASF / SHELL (II),Council Regulation 4064/89,21-11-97,N,23-12-97,06-01-98,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms, C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
M.1042,EASTMAN KODAK / SUN CHEMICAL,Council Regulation 4064/89,01-12-97,N,15-01-98,15-01-98,"C.20.59 - Manufacture of other chemical products n.e.c., C.20.59 - Manufacture of other chemical products n.e.c."
M.1043,BAT / ZÜRICH,Council Regulation 4064/89,13-01-98,N,16-02-98,16-02-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding, K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1044,KPMG / ERNST & YOUNG,Council Regulation 4064/89,23-12-97,N,18-02-98,16-06-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1045,DFO / SCANDLINES,Council Regulation 4064/89,16-12-97,N,29-01-98,29-01-98,"H.50 - Water transport, H.50 - Water transport"
M.1046,AMERITECH / TELE DANMARK,Council Regulation 4064/89,04-11-97,N,05-12-97,05-12-97,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1047,WIENERBERGER / CREMER & BREUER,Council Regulation 4064/89,04-12-97,N,20-03-98,26-05-98,"C.23.32 - Manufacture of bricks, tiles and construction products, in baked clay, C.23.32 - Manufacture of bricks, tiles and construction products, in baked clay, C.23.32 - Manufacture of bricks, tiles and construction products, in baked clay"
M.1049,AKZO / PLV - EPL,Council Regulation 4064/89,03-11-97,N,04-12-97,04-12-97,C.20 - Manufacture of chemicals and chemical products
M.105,ICL / NOKIA DATA,Council Regulation 4064/89,14-06-91,N,17-07-91,17-07-91,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment, J.62.0 - Computer programming, consultancy and related activities, J.62.0 - Computer programming, consultancy and related activities"
M.1053,MANNESMANN / PHILIPS,Council Regulation 4064/89,09-01-98,N,12-02-98,12-02-98,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1054,LGV / BTR,Council Regulation 4064/89,11-11-97,N,11-12-97,12-12-97,"C.20 - Manufacture of chemicals and chemical products, C.20 - Manufacture of chemicals and chemical products"
M.1055,CEGETEL /  VODAFONE - SFR,Council Regulation 4064/89,18-11-97,N,19-12-97,19-12-97,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1056,STINNES / BTL,Council Regulation 4064/89,22-12-97,N,04-02-98,04-02-98,"H.49.4 - Freight transport by road and removal services, H.49.4 - Freight transport by road and removal services"
M.1057,TERRA / ICI,Council Regulation 4064/89,20-11-97,N,19-12-97,22-12-97,"C.20.20 - Manufacture of pesticides and other agrochemical products, C.20.20 - Manufacture of pesticides and other agrochemical products"
M.1058,UNICHEM / ALLIANCE SANTE,Council Regulation 4064/89,20-11-97,N,22-12-97,22-12-97,"G.46.46 - Wholesale of pharmaceutical goods, G.46.46 - Wholesale of pharmaceutical goods"
M.1059,SUEZ LYONNAISE DES EAUX / BFI,Council Regulation 4064/89,20-11-97,N,19-12-97,22-12-97,"E.38.3 - Materials recovery, E.38.3 - Materials recovery"
M.1060,VENDEX / KBB,Council Regulation 4064/89,03-04-98,N,26-05-98,26-05-98,"G.47.1 - Retail sale in non-specialised stores, G.47.1 - Retail sale in non-specialised stores"
M.1061,ING / BBL,Council Regulation 4064/89,09-12-97,N,22-01-98,22-01-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding, K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1062,ALPITOUR / FRANCOROSSO,Council Regulation 4064/89,23-12-97,N,04-02-98,05-02-98,"N.79.12 - Tour operator activities, N.79.12 - Tour operator activities"
M.1063,METRO / MAKRO,Council Regulation 4064/89,20-11-97,N,22-12-97,22-12-97,"G.46 - Wholesale trade, except of motor vehicles and motorcycles, G.46 - Wholesale trade, except of motor vehicles and motorcycles"
M.1064,BOMBARDIER / DEUTSCHE WAGGONBAU,Council Regulation 4064/89,17-12-97,N,29-01-98,29-01-98,"C.30.20 - Manufacture of railway locomotives and rolling stock, C.30.20 - Manufacture of railway locomotives and rolling stock, C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1065,NESTLE / SAN PELLEGRINO,Council Regulation 4064/89,14-01-98,N,16-02-98,16-02-98,C.11.07 - Manufacture of soft drinks; production of mineral waters and other bottled waters
M.1067,MERRILL LYNCH / MERCURY,Council Regulation 4064/89,20-11-97,N,22-12-97,22-12-97,"K.66.12 - Security and commodity contracts brokerage, K.66.12 - Security and commodity contracts brokerage"
M.1068,CREDIT SUISSE FIRST BOSTON / BARCLAYS,Council Regulation 4064/89,20-11-97,N,19-12-97,22-12-97,"K.66.12 - Security and commodity contracts brokerage, K.66.12 - Security and commodity contracts brokerage"
M.1069,WORLDCOM / MCI  (II),Council Regulation 4064/89,03-02-98,N,08-07-98,,"J.61 - Telecommunications, J.61 - Telecommunications, J.61 - Telecommunications, J.61 - Telecommunications"
M.1070,SPAR / PFANNKUCH,Council Regulation 4064/89,02-12-97,N,15-01-98,15-01-98,"G.47.11 - Retail sale in non-specialised stores with food, beverages or tobacco predominating, G.47.11 - Retail sale in non-specialised stores with food, beverages or tobacco predominating"
M.1071,SPAR / PRO,Council Regulation 4064/89,02-12-97,N,15-01-98,15-01-98,"G.47.11 - Retail sale in non-specialised stores with food, beverages or tobacco predominating, G.47.11 - Retail sale in non-specialised stores with food, beverages or tobacco predominating"
M.1072,BERTELSMANN / BURDA / FUTUREKIDS,Council Regulation 4064/89,17-12-97,N,29-01-98,29-01-98,P.85.59 - Other education n.e.c.
M.1073,METALLGESELLSCHAFT / KLÖCKNER CHEMIEHANDEL,Council Regulation 4064/89,16-12-97,N,29-01-98,29-01-98,"C.20 - Manufacture of chemicals and chemical products, C.20 - Manufacture of chemicals and chemical products"
M.1075,NORDIC CAPITAL / MÖLNLYCKE CLINICAL / KOLMI,Council Regulation 4064/89,05-12-97,N,20-01-98,20-01-98,"C.32.5 - Manufacture of medical and dental instruments and supplies, C.32.5 - Manufacture of medical and dental instruments and supplies"
M.1076,ACERALIA / ARISTRAIN    (see ECSC.1264),Council Regulation 4064/89,03-12-97,N,15-01-98,15-01-98,"C.24.20 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel, C.24.20 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
M.1078,BP / HÜLS,Council Regulation 4064/89,12-01-98,N,13-02-98,13-02-98,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms, C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
M.1079,DEUTAG / ILBAU / SÄCHSISCHE ASPHALTMISCHWERKE,Council Regulation 4064/89,27-02-98,N,02-04-98,02-04-98,"F.41 - Construction of buildings, F.41 - Construction of buildings"
M.1080,THYSSEN / KRUPP,Council Regulation 4064/89,14-04-98,N,02-06-98,,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1081,DOW JONES / NBC - CNBC EUROPE,Council Regulation 4064/89,11-12-97,N,22-01-98,22-01-98,"J.60.2 - Television programming and broadcasting activities, J.60.2 - Television programming and broadcasting activities"
M.1082,ALLIANZ / AGF,Council Regulation 4064/89,19-03-98,N,08-05-98,,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1083,RHONE-POULENC / NOVALIS / NYLTECH,Council Regulation 4064/89,09-03-98,N,15-04-98,16-04-98,"C.20.60 - Manufacture of man-made fibres, C.20.60 - Manufacture of man-made fibres, C.22.2 - Manufacture of plastics products, C.22.2 - Manufacture of plastics products"
M.1085,PROMODES / CATTEAU,Council Regulation 4064/89,08-01-98,N,06-02-98,09-02-98,"G.47.1 - Retail sale in non-specialised stores, G.47.1 - Retail sale in non-specialised stores"
M.1086,PROMODES / S21 / GRUPPO GS,Council Regulation 4064/89,26-01-98,N,10-03-98,10-03-98,"G.47.1 - Retail sale in non-specialised stores, G.47.1 - Retail sale in non-specialised stores"
M.1087,PROMODES / SIMAGO,Council Regulation 4064/89,08-01-98,N,06-02-98,09-02-98,"G.47.1 - Retail sale in non-specialised stores, G.47.1 - Retail sale in non-specialised stores"
M.1088,THOMSON CORPORATION / FRITIDSRESOR,Council Regulation 4064/89,22-12-97,N,04-02-98,04-02-98,"H.52 - Warehousing and support activities for transportation, H.52 - Warehousing and support activities for transportation"
M.1089,PARIBAS BELGIQUE / PARIBAS NEDERLAND,Council Regulation 4064/89,12-12-97,N,26-01-98,27-01-98,"K.64 - Financial service activities, except insurance and pension funding"
M.1090,GRE / PPP,Council Regulation 4064/89,13-01-98,N,16-02-98,16-02-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1091,CABLEUROPA / SPAINCO / CTC,Council Regulation 4064/89,17-12-97,N,28-01-98,29-01-98,J.61 - Telecommunications
M.1093,ECIA / BERTRAND FAURE,Council Regulation 4064/89,18-12-97,N,28-01-98,29-01-98,"C.29.32 - Manufacture of other parts and accessories for motor vehicles, C.29.32 - Manufacture of other parts and accessories for motor vehicles"
M.1094,CATERPILLAR / PERKINS ENGINES,Council Regulation 4064/89,20-01-98,N,23-02-98,23-02-98,C.33.20 - Installation of industrial machinery and equipment
M.1095,NEC / BULL / PBN,Council Regulation 4064/89,06-01-98,N,06-02-98,09-02-98,C.33.20 - Installation of industrial machinery and equipment
M.1096,SOCIÉTÉ GÉNÉRALE / HAMBROS BANK,Council Regulation 4064/89,07-01-98,N,06-02-98,09-02-98,"K.64 - Financial service activities, except insurance and pension funding"
M.1097,WACKER / AIR PRODUCTS,Council Regulation 4064/89,02-07-98,N,04-08-98,04-08-98,"C.20 - Manufacture of chemicals and chemical products, C.20 - Manufacture of chemicals and chemical products"
M.1098,GENERALI / AMB / ATHENA,Council Regulation 4064/89,19-03-98,N,23-04-98,23-04-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1099,OTTO VERSAND / ACTEBIS,Council Regulation 4064/89,23-01-98,N,26-02-98,26-02-98,
M.110,ABC / GENERALE DES EAUX / CANAL+ / W.H. SMITH,Council Regulation 4064/89,07-08-91,N,10-09-91,10-09-91,"J.60.2 - Television programming and broadcasting activities, J.60.2 - Television programming and broadcasting activities"
M.1100,CGEA / LINJEBUSS,Council Regulation 4064/89,14-01-98,N,16-02-98,16-02-98,"H.49 - Land transport and transport via pipelines, H.49 - Land transport and transport via pipelines"
M.1101,HERMES / SAMPO / FGB - FCIC,Council Regulation 4064/89,15-04-98,N,19-05-98,19-05-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1102,BBL / AMERICAN EXPRESS,Council Regulation 4064/89,27-03-98,N,29-04-98,06-05-98,"H.52 - Warehousing and support activities for transportation, H.52 - Warehousing and support activities for transportation"
M.1105,TENGELMANN / GRUPPO PAM,Council Regulation 4064/89,10-02-98,N,10-03-98,11-03-98,"G.47.1 - Retail sale in non-specialised stores, G.47.1 - Retail sale in non-specialised stores"
M.1106,BAYERISCHE VEREINSBANK / FGH BANK,Council Regulation 4064/89,04-02-98,N,04-03-98,05-03-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1107,EDFI / ESTAG,Council Regulation 4064/89,16-02-98,N,17-03-98,17-03-98,"D.35.1 - Electric power generation, transmission and distribution, D.35.1 - Electric power generation, transmission and distribution"
M.1108,SBG / SBV,Council Regulation 4064/89,03-02-98,N,04-03-98,04-03-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1109,OWENS-ILLINOIS / BTR PACKAGING,Council Regulation 4064/89,04-03-98,N,21-04-98,,"C.23.1 - Manufacture of glass and glass products, C.23.1 - Manufacture of glass and glass products, C.23.1 - Manufacture of glass and glass products"
M.111,BP / PETROMED,Council Regulation 4064/89,28-06-91,N,29-07-91,01-08-91,"C.19.20 - Manufacture of refined petroleum products, C.19.20 - Manufacture of refined petroleum products"
M.1110,VAW / REYNOLDS METALS,Council Regulation 4064/89,15-04-98,N,19-05-98,19-05-98,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1112,ADVENT INTERNATIONAL / EMI / WH SMITH,Council Regulation 4064/89,25-02-98,N,24-03-98,26-03-98,"G.47.6 - Retail sale of cultural and recreation goods in specialised stores, G.47.6 - Retail sale of cultural and recreation goods in specialised stores, G.47.78 - Other retail sale of new goods in specialised stores, G.47.78 - Other retail sale of new goods in specialised stores"
M.1113,NORTEL / NORWEB,Council Regulation 4064/89,17-02-98,N,18-03-98,18-03-98,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1114,SAP / HEIDELBERGER,Council Regulation 4064/89,19-10-98,N,23-11-98,23-11-98,"M.74.90 - Other professional, scientific and technical activities n.e.c., M.74.90 - Other professional, scientific and technical activities n.e.c."
M.1117,PINAULT / GUILBERT,Council Regulation 4064/89,09-02-98,N,10-03-98,10-03-98,"G.47.9 - Retail trade not in stores, stalls or markets, G.47.9 - Retail trade not in stores, stalls or markets"
M.112,EDS / SD - SCICON,Council Regulation 4064/89,18-06-91,N,17-07-91,19-07-91,"J.62.0 - Computer programming, consultancy and related activities, J.62.0 - Computer programming, consultancy and related activities"
M.1120,COMPAQ / DIGITAL,Council Regulation 4064/89,20-02-98,N,23-03-98,23-03-98,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1121,ALCATEL / THOMSON SA - THOMSON CSF,Council Regulation 4064/89,17-04-98,N,25-05-98,25-05-98,"C.25.4 - Manufacture of weapons and ammunition, C.25.4 - Manufacture of weapons and ammunition, O.84.22 - Defence activities, O.84.22 - Defence activities"
M.1122,KREDIETBANK / CERA BANK,Council Regulation 4064/89,14-04-98,N,18-05-98,18-05-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1124,MAERSK AIR / LFV HOLDINGS,Council Regulation 4064/89,03-06-98,N,06-07-98,06-07-98,"H.51 - Air transport, H.51 - Air transport"
M.1125,CEREOL / SOFIPROTEOL - SAIPOL,Council Regulation 4064/89,10-02-98,N,10-03-98,11-03-98,"C.10.41 - Manufacture of oils and fats, C.10.41 - Manufacture of oils and fats"
M.1126,CARGILL / VANDEMOORTELE,Council Regulation 4064/89,18-06-98,N,20-07-98,20-07-98,"C.10.41 - Manufacture of oils and fats, C.10.41 - Manufacture of oils and fats"
M.1127,NESTLE / DALGETY,Council Regulation 4064/89,27-02-98,N,02-04-98,02-04-98,"C.10.92 - Manufacture of prepared pet foods, C.10.92 - Manufacture of prepared pet foods"
M.1128,KLM / MARTIN AIR,Council Regulation 4064/89,01-09-98,N,22-09-98,02-10-98,"H.51 - Air transport, H.51 - Air transport"
M.1129,COMMERCIAL UNION / BERLINISCHE LEBENSVERSICHERUNG AG,Council Regulation 4064/89,28-05-98,N,30-06-98,30-06-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.113,COURTAULDS / SNIA,Council Regulation 4064/89,19-11-91,N,19-12-91,,"C.20.60 - Manufacture of man-made fibres, C.20.60 - Manufacture of man-made fibres, C.20.60 - Manufacture of man-made fibres"
M.1131,AGF / ROYAL,Council Regulation 4064/89,19-03-98,N,23-04-98,23-04-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1132,BT / ESB,Council Regulation 4064/89,15-04-98,N,19-05-98,19-05-98,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1133,BASS PLC / SAISON HOLDINGS B.V.,Council Regulation 4064/89,24-02-98,N,23-03-98,25-03-98,"I.55.10 - Hotels and similar accommodation, I.55.10 - Hotels and similar accommodation"
M.1134,TARMAC / BOVIS,Council Regulation 4064/89,27-02-98,N,24-03-98,02-04-98,"F.43.99 - Other specialised construction activities n.e.c., F.43.99 - Other specialised construction activities n.e.c."
M.1135,ELF / TEXACO / ANTIFREZE JV,Council Regulation 4064/89,14-07-98,N,18-08-98,18-08-98,"C.19.20 - Manufacture of refined petroleum products, C.19.20 - Manufacture of refined petroleum products"
M.1137,EXXON / SHELL,Council Regulation 4064/89,25-05-98,N,08-07-98,,"C.20.5 - Manufacture of other chemical products, C.20.5 - Manufacture of other chemical products, C.20.5 - Manufacture of other chemical products"
M.1138,ROYAL BANK OF CANADA / BANK OF MONTREAL,Council Regulation 4064/89,27-02-98,N,02-04-98,02-04-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1139,DLJ / FM HOLDINGS,Council Regulation 4064/89,23-03-98,N,28-04-98,29-04-98,"C.23.99 - Manufacture of other non-metallic mineral products n.e.c., C.23.99 - Manufacture of other non-metallic mineral products n.e.c."
M.1140,HALLIBURTON / DRESSER,Council Regulation 4064/89,03-06-98,N,06-07-98,06-07-98,"B.09.1 - Support activities for petroleum and natural gas extraction, B.09.1 - Support activities for petroleum and natural gas extraction, F.41.20 - Construction of residential and non-residential buildings, F.41.20 - Construction of residential and non-residential buildings"
M.1142,COMMERCIAL UNION / GENERAL ACCIDENT,Council Regulation 4064/89,27-03-98,N,06-05-98,06-05-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1143,DSM / KONINKLIJKE GIST-BROCADES,Council Regulation 4064/89,01-04-98,N,07-05-98,08-05-98,"C.20 - Manufacture of chemicals and chemical products, C.20 - Manufacture of chemicals and chemical products"
M.1144,WINTERTHUR / ARAG,Council Regulation 4064/89,12-03-98,N,14-04-98,17-04-98,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
M.1145,PAKHOED / VAN OMMEREN,Council Regulation 4064/89,14-05-98,N,24-06-98,01-07-98,"H.50.20 - Sea and coastal freight water transport, H.50.20 - Sea and coastal freight water transport, H.52.10 - Warehousing and storage, H.52.10 - Warehousing and storage"
M.1146,SHV ENERGY / THYSSEN KLÖCKNER RECYCLING (See CECA 1271),Council Regulation 4064/89,16-04-98,N,19-05-98,19-05-98,G.46.77 - Wholesale of waste and scrap
M.1148,STET / GET / MADRID CABLE,Council Regulation 4064/89,21-04-98,N,28-05-98,28-05-98,"J.61 - Telecommunications, J.61 - Telecommunications"
M.1150,SCHWEIZER RÜCK / NCM,Council Regulation 4064/89,20-05-98,N,26-06-98,26-06-98,"S.96.0 - Other personal service activities, S.96.0 - Other personal service activities"
M.1153,KRAUSS-MAFFEI / WEGMANN,Council Regulation 4064/89,04-05-98,N,19-06-98,19-06-98,"O.84.22 - Defence activities, O.84.22 - Defence activities"
